,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,DAYS_EMPLOYED_r,credit_r
8503,F,N,Y,0,171000.0,Working,Secondary / secondary special,Married,House / apartment,42,0,0,0,0,Sales staff,2.0,44.0,1.0,0.98,1.0
8504,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,56,0,0,0,0,job_less,1.0,5.0,1.0,-0.0,1.0
8505,F,N,Y,0,175500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0,0,0,0,job_less,2.0,19.0,2.0,-0.0,5.0
8506,M,N,N,0,222750.0,Working,Higher education,Married,House / apartment,48,12,1,1,0,Managers,2.0,23.0,2.0,12.78,4.0
8507,F,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,48,3,0,0,0,Medicine staff,2.0,20.0,1.0,3.45,1.0
8508,F,N,N,0,225000.0,Working,Higher education,Separated,House / apartment,35,11,0,1,0,Laborers,1.0,43.0,2.0,11.77,2.0
8509,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,51,25,0,0,0,Laborers,2.0,26.0,2.0,25.32,4.0
8510,M,Y,N,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,7,1,1,0,Managers,2.0,31.0,2.0,7.52,3.0
8511,M,Y,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,28,4,0,0,0,Drivers,2.0,21.0,1.0,4.63,1.0
8512,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,39,8,0,0,0,Laborers,2.0,13.0,2.0,8.71,4.0
8513,F,N,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,48,19,1,1,1,Laborers,2.0,8.0,2.0,19.93,2.0
8514,M,Y,Y,2,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,50,11,1,1,1,Core staff,4.0,38.0,2.0,11.7,3.0
8515,M,Y,Y,1,315000.0,Working,Secondary / secondary special,Separated,House / apartment,44,2,0,0,0,Managers,2.0,28.0,1.0,2.42,1.0
8516,M,Y,Y,2,108000.0,State servant,Secondary / secondary special,Married,House / apartment,34,2,1,0,0,Core staff,4.0,16.0,2.0,2.52,2.0
8517,F,N,N,0,180000.0,Working,Higher education,Married,House / apartment,27,1,0,0,0,Accountants,2.0,1.0,1.0,1.93,1.0
8518,M,N,Y,0,382500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0,0,0,0,job_less,1.0,16.0,2.0,-0.0,4.0
8519,M,Y,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52,9,1,1,0,Drivers,2.0,22.0,2.0,9.88,4.0
8520,F,Y,Y,1,270000.0,Commercial associate,Academic degree,Married,House / apartment,33,2,0,0,0,Sales staff,3.0,19.0,0.0,2.68,0.0
8521,F,Y,Y,1,234000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,29,4,0,0,0,Sales staff,3.0,3.0,1.0,4.06,1.0
8522,F,Y,N,0,126000.0,Pensioner,Higher education,Civil marriage,House / apartment,68,0,0,1,0,job_less,2.0,36.0,0.0,-0.0,0.0
8523,M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,25,4,0,0,0,High skill tech staff,1.0,39.0,2.0,4.12,2.0
8524,M,Y,Y,1,292500.0,Commercial associate,Higher education,Married,House / apartment,34,9,0,0,0,Core staff,3.0,5.0,1.0,9.1,1.0
8525,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,52,0,0,1,0,job_less,2.0,1.0,1.0,-0.0,1.0
8526,F,N,Y,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,34,3,0,0,0,Waiters/barmen staff,2.0,21.0,1.0,3.7,1.0
8527,F,N,Y,0,225000.0,State servant,Higher education,Married,House / apartment,49,3,0,0,0,High skill tech staff,2.0,25.0,2.0,3.53,4.0
8528,F,Y,Y,2,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,35,0,0,0,0,High skill tech staff,4.0,10.0,2.0,0.68,4.0
8529,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,0,1,0,job_less,2.0,18.0,2.0,-0.0,5.0
8530,F,N,Y,0,135000.0,Commercial associate,Higher education,Civil marriage,House / apartment,56,14,0,0,0,High skill tech staff,2.0,40.0,2.0,14.13,5.0
8531,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,61,0,0,0,0,job_less,1.0,16.0,2.0,-0.0,5.0
8532,M,N,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,28,0,1,1,0,Core staff,1.0,9.0,0.0,0.28,0.0
8533,M,Y,N,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,27,9,1,0,0,Core staff,5.0,17.0,1.0,9.52,1.0
8534,M,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,45,1,1,0,0,Low-skill Laborers,2.0,5.0,1.0,1.93,1.0
8535,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,3,1,1,0,Drivers,2.0,48.0,2.0,3.26,5.0
8536,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,7,0,1,0,High skill tech staff,2.0,38.0,2.0,7.95,3.0
8537,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,2,0,0,0,Waiters/barmen staff,2.0,19.0,2.0,2.63,3.0
8538,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63,0,0,0,0,job_less,1.0,3.0,0.0,-0.0,0.0
8539,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,44,18,1,1,0,Laborers,4.0,12.0,2.0,18.91,5.0
8540,F,N,N,0,225000.0,Pensioner,Higher education,Married,House / apartment,66,0,0,0,0,job_less,2.0,52.0,0.0,-0.0,0.0
8541,M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,24,2,0,0,1,Laborers,2.0,0.0,1.0,2.02,1.0
8542,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,48,18,0,0,0,Core staff,2.0,23.0,2.0,18.86,5.0
8543,F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0,0,0,0,job_less,2.0,16.0,2.0,-0.0,5.0
8544,F,N,Y,2,90000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,34,7,1,0,0,Core staff,4.0,41.0,2.0,7.22,5.0
8545,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66,0,0,0,0,job_less,2.0,4.0,2.0,-0.0,2.0
8546,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,32,6,1,0,0,Sales staff,2.0,17.0,2.0,6.2,4.0
8547,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,44,4,0,0,0,Cooking staff,2.0,14.0,2.0,4.15,2.0
8548,F,N,Y,2,135000.0,Working,Secondary / secondary special,Separated,House / apartment,40,6,0,0,0,Core staff,3.0,15.0,2.0,6.59,5.0
8549,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,0,0,0,job_less,2.0,58.0,2.0,-0.0,4.0
8550,F,Y,Y,1,252000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,29,2,0,0,0,Core staff,2.0,25.0,1.0,2.05,1.0
8551,F,N,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,60,0,0,0,0,job_less,2.0,0.0,1.0,-0.0,1.0
8552,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,33,1,0,0,1,Laborers,1.0,27.0,2.0,1.05,3.0
8553,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,29,5,1,0,0,Core staff,3.0,7.0,2.0,5.68,3.0
8554,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,36,3,0,0,0,Laborers,2.0,0.0,0.0,3.85,0.0
8555,M,Y,Y,0,135000.0,Working,Higher education,Married,House / apartment,56,8,1,0,0,Drivers,2.0,23.0,2.0,8.72,3.0
8556,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,57,0,0,0,0,job_less,1.0,31.0,1.0,-0.0,1.0
8557,M,Y,N,0,81000.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,28,0,0,0,0,Drivers,1.0,40.0,2.0,0.35,4.0
8558,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35,6,0,0,1,Laborers,3.0,42.0,2.0,6.62,4.0
8559,F,N,Y,0,175500.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0,0,1,0,job_less,2.0,22.0,2.0,-0.0,3.0
8560,F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,62,4,0,0,0,Managers,2.0,13.0,2.0,4.96,4.0
8561,F,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,31,6,0,0,0,Managers,1.0,19.0,2.0,6.55,5.0
8562,M,N,N,0,225000.0,Working,Higher education,Married,House / apartment,32,4,0,0,1,Sales staff,2.0,36.0,2.0,4.26,4.0
8563,F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,59,14,0,0,0,Accountants,1.0,14.0,0.0,14.98,0.0
8564,F,N,Y,1,193500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46,3,0,0,1,Laborers,3.0,4.0,1.0,3.0,1.0
8565,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,31,2,0,0,0,Drivers,2.0,44.0,2.0,2.04,2.0
8566,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,36,18,0,0,0,Core staff,2.0,25.0,0.0,18.19,0.0
8567,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,34,15,0,0,0,Laborers,3.0,54.0,2.0,15.69,5.0
8568,F,N,Y,1,193500.0,State servant,Higher education,Civil marriage,House / apartment,35,2,0,0,1,Managers,3.0,17.0,1.0,2.76,1.0
8569,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,44,17,1,1,0,Managers,2.0,55.0,2.0,17.36,3.0
8570,F,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61,0,0,1,0,job_less,1.0,37.0,2.0,-0.0,4.0
8571,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,57,0,0,0,0,job_less,1.0,4.0,1.0,-0.0,1.0
8572,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,35,5,1,0,0,Laborers,4.0,26.0,2.0,5.72,4.0
8573,M,Y,Y,0,382500.0,Working,Secondary / secondary special,Married,House / apartment,59,3,0,0,0,Security staff,2.0,5.0,2.0,3.8,3.0
8574,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,65,0,0,0,0,job_less,2.0,34.0,2.0,-0.0,5.0
8575,M,N,N,3,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30,7,0,0,0,Core staff,5.0,35.0,2.0,7.93,3.0
8576,M,N,Y,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,33,4,0,0,0,Realty agents,1.0,38.0,1.0,4.63,1.0
8577,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,6,0,1,0,Managers,2.0,39.0,2.0,6.21,5.0
8578,F,N,Y,0,144000.0,State servant,Higher education,Separated,House / apartment,54,26,0,0,0,Core staff,1.0,12.0,2.0,26.2,5.0
8579,M,N,Y,0,31500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0,0,0,0,job_less,2.0,11.0,0.0,-0.0,0.0
8580,M,Y,Y,4,157500.0,Working,Higher education,Married,House / apartment,31,4,0,0,0,Managers,6.0,9.0,1.0,4.75,1.0
8581,F,N,Y,0,202500.0,Pensioner,Higher education,Single / not married,House / apartment,50,0,0,1,0,job_less,1.0,55.0,2.0,-0.0,3.0
8582,M,Y,N,0,225000.0,Pensioner,Higher education,Married,House / apartment,54,0,0,1,0,job_less,2.0,46.0,2.0,-0.0,3.0
8583,F,Y,Y,1,225000.0,Commercial associate,Higher education,Separated,House / apartment,42,0,0,0,1,Laborers,2.0,55.0,0.0,0.64,0.0
8584,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,15,0,0,1,Core staff,2.0,43.0,2.0,15.07,2.0
8585,F,Y,N,0,247500.0,Working,Secondary / secondary special,Separated,House / apartment,37,5,0,0,0,Laborers,1.0,10.0,2.0,5.87,5.0
8586,F,N,N,0,405000.0,Working,Higher education,Married,House / apartment,44,19,0,0,0,Security staff,2.0,44.0,2.0,19.53,5.0
8587,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Married,House / apartment,50,4,0,0,0,High skill tech staff,2.0,22.0,2.0,4.99,2.0
8588,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,33,12,0,0,1,Sales staff,2.0,21.0,2.0,12.2,5.0
8589,M,Y,Y,0,243000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,6,0,1,0,Laborers,2.0,6.0,0.0,6.95,0.0
8590,M,N,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,59,8,1,1,0,Drivers,2.0,9.0,2.0,8.22,4.0
8591,M,Y,Y,0,180000.0,State servant,Higher education,Married,House / apartment,27,1,0,0,0,High skill tech staff,2.0,3.0,1.0,1.76,1.0
8592,F,N,Y,0,49500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63,0,0,1,0,job_less,1.0,3.0,0.0,-0.0,0.0
8593,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58,0,0,0,0,job_less,1.0,54.0,2.0,-0.0,4.0
8594,M,Y,Y,0,112500.0,Pensioner,Higher education,Married,House / apartment,64,0,0,0,0,job_less,2.0,29.0,2.0,-0.0,3.0
8595,F,N,Y,0,126000.0,Working,Higher education,Married,House / apartment,48,1,1,0,0,High skill tech staff,2.0,43.0,0.0,1.35,0.0
8596,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,27,6,1,1,0,Sales staff,2.0,41.0,1.0,6.85,1.0
8597,F,N,Y,1,135000.0,Working,Incomplete higher,Separated,House / apartment,27,1,0,0,0,Sales staff,2.0,48.0,2.0,1.64,3.0
8598,F,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,52,9,0,0,0,Security staff,1.0,55.0,2.0,9.09,5.0
8599,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,46,12,0,0,1,Sales staff,2.0,6.0,2.0,12.08,4.0
8600,F,Y,Y,2,67500.0,Working,Higher education,Married,Municipal apartment,33,8,0,0,0,Secretaries,4.0,14.0,2.0,8.32,4.0
8601,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,38,5,0,0,0,Core staff,2.0,12.0,2.0,5.76,4.0
8602,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,28,4,1,0,0,Core staff,3.0,52.0,2.0,4.64,4.0
8603,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,44,3,0,0,0,Laborers,2.0,31.0,0.0,3.24,0.0
8604,F,Y,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,54,15,0,0,0,Accountants,2.0,44.0,2.0,15.56,2.0
8605,F,N,Y,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,64,14,0,1,0,Cleaning staff,2.0,2.0,1.0,14.11,1.0
8606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,48,4,1,1,0,Accountants,2.0,14.0,2.0,4.69,4.0
8607,M,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,28,1,0,0,0,Core staff,3.0,52.0,1.0,1.43,1.0
8608,F,N,N,1,108000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41,1,0,0,0,Medicine staff,3.0,55.0,1.0,1.97,1.0
8609,F,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48,5,0,1,1,High skill tech staff,2.0,41.0,0.0,5.46,0.0
8610,F,Y,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,4,0,1,0,Sales staff,3.0,48.0,1.0,4.61,1.0
8611,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61,0,0,0,0,job_less,1.0,1.0,0.0,-0.0,0.0
8612,F,Y,N,0,144000.0,Working,Higher education,Civil marriage,House / apartment,26,2,1,1,0,Core staff,2.0,17.0,2.0,2.35,4.0
8613,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64,0,0,0,0,job_less,1.0,6.0,2.0,-0.0,2.0
8614,M,N,N,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,25,1,1,0,0,Laborers,1.0,15.0,2.0,1.22,3.0
8615,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,58,2,0,0,1,High skill tech staff,2.0,18.0,2.0,2.78,2.0
8616,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,39,4,0,1,0,Core staff,2.0,25.0,2.0,4.3,2.0
8617,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,31,3,0,0,0,Private service staff,2.0,48.0,2.0,3.93,3.0
8618,F,N,Y,3,135000.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,37,12,0,1,0,Security staff,4.0,31.0,2.0,12.12,5.0
8619,M,Y,Y,0,184500.0,State servant,Higher education,Married,House / apartment,38,0,0,0,0,Managers,2.0,14.0,2.0,0.46,2.0
8620,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,50,5,0,0,0,Medicine staff,2.0,32.0,2.0,5.11,4.0
8621,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0,0,0,0,job_less,2.0,42.0,2.0,-0.0,2.0
8622,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,48,22,0,0,0,Medicine staff,3.0,8.0,1.0,22.04,1.0
8623,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,36,5,0,0,0,Laborers,5.0,27.0,2.0,5.43,3.0
8624,M,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,31,12,0,0,0,High skill tech staff,2.0,34.0,0.0,12.78,0.0
8625,F,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,44,2,1,0,0,High skill tech staff,2.0,40.0,2.0,2.85,2.0
8626,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59,0,0,0,0,job_less,2.0,10.0,2.0,-0.0,4.0
8627,F,Y,N,0,144000.0,Commercial associate,Higher education,Married,House / apartment,46,9,0,0,0,Core staff,2.0,41.0,2.0,9.47,2.0
8628,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47,7,0,1,0,Core staff,2.0,9.0,2.0,7.4,5.0
8629,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,0,1,1,0,Drivers,2.0,12.0,2.0,0.33,3.0
8630,F,N,N,1,202500.0,State servant,Secondary / secondary special,Married,House / apartment,35,4,1,0,0,High skill tech staff,3.0,8.0,0.0,4.55,0.0
8631,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,35,0,0,0,0,Laborers,2.0,27.0,2.0,0.42,3.0
8632,M,N,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,62,0,0,0,0,Drivers,2.0,14.0,2.0,0.28,5.0
8633,M,N,Y,0,292500.0,Commercial associate,Higher education,Single / not married,Rented apartment,27,3,0,1,0,Sales staff,1.0,16.0,1.0,3.35,1.0
8634,M,Y,N,1,229500.0,State servant,Secondary / secondary special,Married,House / apartment,59,11,0,0,0,Managers,3.0,51.0,2.0,11.9,5.0
8635,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,26,2,1,1,0,Laborers,4.0,22.0,2.0,2.34,4.0
8636,F,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,33,1,0,0,0,Laborers,2.0,48.0,2.0,1.83,2.0
8637,M,N,N,0,360000.0,Commercial associate,Higher education,Married,House / apartment,42,9,0,0,0,Realty agents,2.0,44.0,0.0,9.44,0.0
8638,M,Y,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,9,0,0,0,Laborers,4.0,19.0,2.0,9.3,4.0
8639,F,N,N,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,40,5,0,0,0,Drivers,3.0,43.0,2.0,5.06,5.0
8640,M,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,36,2,1,1,0,Laborers,1.0,25.0,1.0,2.72,1.0
8641,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,38,7,1,1,1,Private service staff,2.0,19.0,1.0,7.88,1.0
8642,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0,0,0,0,job_less,2.0,14.0,2.0,-0.0,5.0
8643,M,N,N,2,157500.0,Working,Higher education,Married,House / apartment,32,12,0,0,0,Laborers,4.0,45.0,2.0,12.81,5.0
8644,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,54,18,0,0,0,Laborers,2.0,7.0,2.0,18.11,4.0
8645,M,N,Y,0,148500.0,Working,Secondary / secondary special,Single / not married,House / apartment,32,2,0,0,0,Laborers,1.0,6.0,0.0,2.64,0.0
8646,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,50,3,1,0,0,Core staff,2.0,43.0,0.0,3.18,0.0
8647,F,N,N,1,292500.0,Working,Incomplete higher,Married,House / apartment,34,11,1,1,0,Sales staff,3.0,21.0,0.0,11.04,0.0
8648,F,N,N,0,225000.0,Working,Higher education,Separated,House / apartment,35,11,0,1,0,Laborers,1.0,27.0,0.0,11.77,0.0
8649,F,Y,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0,0,0,0,job_less,2.0,37.0,1.0,-0.0,1.0
8650,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,62,2,0,1,1,Low-skill Laborers,2.0,25.0,0.0,2.36,0.0
8651,F,Y,Y,1,193500.0,Commercial associate,Higher education,Married,House / apartment,29,1,0,0,0,Sales staff,3.0,7.0,2.0,1.35,3.0
8652,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,46,3,1,1,0,Sales staff,1.0,13.0,2.0,3.12,2.0
8653,M,Y,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40,10,0,0,0,Core staff,4.0,20.0,2.0,10.55,5.0
8654,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,0,1,0,job_less,2.0,23.0,2.0,-0.0,3.0
8655,F,N,N,0,270000.0,Commercial associate,Higher education,Married,House / apartment,40,22,1,1,0,Managers,2.0,9.0,2.0,22.22,2.0
8656,M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,44,1,0,1,0,Drivers,1.0,27.0,2.0,1.26,4.0
8657,F,Y,Y,2,90000.0,Working,Higher education,Married,House / apartment,31,5,1,1,0,Accountants,4.0,24.0,0.0,5.28,0.0
8658,F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,35,2,0,1,1,Laborers,3.0,36.0,2.0,2.55,2.0
8659,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,34,7,1,1,0,Managers,2.0,26.0,2.0,7.18,4.0
8660,F,N,Y,1,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,51,0,0,1,0,job_less,3.0,54.0,1.0,-0.0,1.0
8661,F,Y,Y,1,337500.0,Commercial associate,Higher education,Married,House / apartment,39,3,0,0,0,High skill tech staff,3.0,5.0,2.0,3.42,2.0
8662,F,Y,Y,0,180000.0,Working,Higher education,Separated,House / apartment,47,23,0,0,0,Security staff,1.0,60.0,2.0,23.2,5.0
8663,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,60,1,0,0,1,Managers,2.0,35.0,1.0,1.58,1.0
8664,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0,0,0,0,job_less,2.0,15.0,1.0,-0.0,1.0
8665,F,N,Y,0,175500.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0,0,0,0,job_less,2.0,32.0,2.0,-0.0,5.0
8666,F,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,51,13,1,0,0,Sales staff,2.0,14.0,2.0,13.3,2.0
8667,F,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,38,4,1,0,0,High skill tech staff,2.0,7.0,1.0,4.67,1.0
8668,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,55,2,0,0,0,Laborers,2.0,45.0,2.0,2.86,2.0
8669,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,37,3,0,0,0,Sales staff,3.0,17.0,2.0,3.21,3.0
8670,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35,9,0,0,1,Drivers,1.0,25.0,2.0,9.32,4.0
8671,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0,0,1,0,job_less,2.0,36.0,2.0,-0.0,3.0
8672,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,64,5,0,0,0,Security staff,2.0,7.0,1.0,5.72,1.0
8673,F,N,Y,0,45000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,3,1,1,0,Sales staff,2.0,15.0,0.0,3.81,0.0
8674,M,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27,2,0,0,0,Laborers,3.0,3.0,1.0,2.27,1.0
8675,F,N,Y,0,225000.0,Working,Higher education,Married,House / apartment,37,2,0,0,0,Managers,2.0,25.0,2.0,2.99,3.0
8676,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,65,0,0,0,0,job_less,2.0,6.0,2.0,-0.0,3.0
8677,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,43,2,0,0,0,Sales staff,1.0,5.0,2.0,2.09,2.0
8678,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,37,17,0,1,0,Medicine staff,4.0,0.0,1.0,17.36,1.0
8679,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,22,1,1,0,0,Core staff,2.0,10.0,2.0,1.89,4.0
8680,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,35,8,0,0,0,Core staff,2.0,1.0,0.0,8.91,0.0
8681,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,39,20,0,0,0,Laborers,2.0,26.0,2.0,20.13,4.0
8682,M,N,N,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,25,0,1,0,0,Waiters/barmen staff,2.0,5.0,1.0,0.45,1.0
8683,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58,0,0,1,0,job_less,2.0,21.0,2.0,-0.0,3.0
8684,F,N,Y,0,256500.0,Commercial associate,Higher education,Separated,House / apartment,53,2,0,0,0,Managers,1.0,34.0,0.0,2.66,0.0
